id,source,target,draft_prediction,refined_prediction
10,"In order to contribute to the detection of banned substances in traditional herbal medicines, we conducted a study on the method of quantification of diclofenac sodium in traditional herbal medicines which are used for treatment or support for osteoarthritis by high performance liquid chromatography (HPLC).","Để góp phần vào công tác kiểm tra phát hiện các chất cấm trộn lẫn trong thuốc đông dược, chúng tôi tiến hành đề tài xây dựng phương pháp định lượng diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao với detector UV-vis.","Để góp phần phát hiện các chất cấm trong các chế phẩm dược liệu cổ truyền, chúng tôi tiến hành nghiên cứu phương pháp định lượng diclofenac natri trong các chế phẩm dược liệu cổ truyền được sử dụng để điều trị hoặc hỗ trợ điều trị bệnh thoái hoá khớp bằng sắc ký lỏng hiệu năng cao (HPLC).","Để góp phần phát hiện các chất cấm trong các chế phẩm dược liệu cổ truyền, chúng tôi tiến hành nghiên cứu phương pháp định lượng diclofenac natri trong các chế phẩm dược liệu cổ truyền được sử dụng để điều trị hoặc hỗ trợ điều trị bệnh thoái hoá khớp bằng sắc ký lỏng hiệu năng cao (HPLC)."
11,"After precipating, diclofenac sodium was eluted by HPLC using a reverse-phase column (C8, 150 mm x 4.6 mm, 5 μm), mobile phase contains methanol / phosphat buffer (70: 30 v / v, pH 2.5), at a flow rate of 1.0 ml / min, and a wavelength detection at 275 nm.","Sau khi xử lý mẫu diclofenac natri được tiến hành định lượng bằng phương pháp sắc ký lỏng hiệu năng cao với cột pha đảo (C 8, 150 mm x 4,6 mm, 5 μm), pha động methanol / đệm phosphat pH 2,5 (7 0:3 0 v / v) tốc độ dòng chảy là 1,0 ml / phút, bước sóng phát hiện 275 nm.","Sau khi kết tủa, diclofenac natri được tách chiết bằng HPLC sử dụng cột pha đảo (C8, 150 mm x 4.6 mm, 5 μm), pha động gồm methanol / phốt phat (70: 30 v/v, pH 2.5), lưu lượng 1.0 ml/phút, bước sóng phát hiện 275 nm.","Sau khi kết tủa, diclofenac natri được tách chiết bằng HPLC sử dụng cột pha đảo (C8, 150 mm x 4.6 mm, 5 μm), pha động gồm methanol / phốt phat (70: 30 v/v, pH 2.5), lưu lượng 1.0 ml/phút, bước sóng phát hiện 275 nm."
12,"Therefor, the method was appropriately formulated to determine diclofenac sodium in herbal medicines.",Như vậy phương pháp đã xây dựng phù hợp đề xác định diclofenac natri trong dược liệu.,"Vì vậy, phương pháp đã được xây dựng để xác định diclofenac natri trong các chế phẩm thảo dược.","Vì vậy, phương pháp đã được xây dựng để xác định diclofenac natri trong các chế phẩm thảo dược."
13,Research for clinical characteristics and plasma dopamine concentrations in schizophrenic patients,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamin huyết tương ở bệnh nhân tâm thần phân liệt,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamine huyết tương ở bệnh nhân tâm thần phân liệt,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamine huyết tương ở bệnh nhân tâm thần phân liệt
14,The purpose of this study was to evaluate the effects of a mixture extract of C chrysantha and G pentaphyllum on weight loss and lowering lipid blood levels in obese Swiss mice.,"Nghiên cứu được thực hiện nhằm đánh giá tác dụng giảm cân, hạ lipid máu của hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam trên chuột nhắt trắng gây béo phì.",Mục đích của nghiên cứu này là đánh giá tác dụng giảm cân và hạ lipid máu của hỗn hợp cao chiết từ C. chrysantha và G. pentaphyllum trên chuột nhắt trắng béo.,Mục đích của nghiên cứu này là đánh giá tác dụng giảm cân và hạ lipid máu của hỗn hợp cao chiết từ C. chrysantha và G. pentaphyllum trên chuột nhắt trắng béo.
15,Swiss mice were randomly allocated into 5 groups with 8 animals in each group.,Chuột nhắt trắng chủng Swiss được chia ngẫu nhiên thành 5 lô với 8 con trong mỗi lô.,Chuột nhắt trắng được chia ngẫu nhiên thành 5 lô với 8 con/lô.,Chuột nhắt trắng được chia ngẫu nhiên thành 5 lô với 8 con/lô.
16,Group 1: non-obese mice.,Lô 1: chuột không gây béo phì.,Nhóm 1: chuột không béo.,Nhóm 1: chuột không béo.
17,"With the remaining 4 groups, the mice were induced to become obese for 8 weeks.","Với 4 lô còn lại, chuột được gây béo phì trong vòng 8 tuần.","Với 4 nhóm còn lại, chuột được gây béo phì trong 8 tuần.","Với 4 nhóm còn lại, chuột được gây béo phì trong 8 tuần."
18,"mice were fed with distilled water (group 2) mixture extract at a dose of 12g / kg / day (group 3), 24g / kg / day (group 4) and atorvastatin at a dose of 15mg / kg / day (group 5).","Sau đó với lô 2 chuột được uống nước cất, lô 3 chuột được uống hỗn hợp dịch chiết liều 12 g / kg / ngày, lô 4 chuột được uống hỗn hợp dịch chiết liều 2 4g / kg / ngày và lô 5 chuột được uống atorvastatin liều 15 mg / kg / ngày.","Chuột được cho uống nước cất (nhóm 2), hỗn hợp cao chiết ở liều 12 g/kg/ngày (nhóm 3), 24 g/kg/ngày (nhóm 4) và atorvastatin liều 15 mg/kg/ngày (nhóm 5).","Chuột được cho uống nước cất (nhóm 2), hỗn hợp cao chiết ở liều 12 g/kg/ngày (nhóm 3), 24 g/kg/ngày (nhóm 4) và atorvastatin liều 15 mg/kg/ngày (nhóm 5)."
19,The feeding time period was 14 days.,Thời gian uống thuốc thử là 14 ngày.,Thời gian cho ăn là 14 ngày.,Thời gian cho ăn là 14 ngày.
20,"Mice in each group was assessed for weight weekly and the levels of Total Cholesterol (CT), HDLCholesterol (HDL-C), LDL-Cholesterol (LDL-C) and Triglyceride (TC) was recorded at initial time (after obesity was induced for 8 weeks) and 1 hour after taking the extracted mixtures on the last day.","Trọng lượng chuột ở mỗi lô được đánh giá hàng tuần và hàm lượng Cholesterol toàn phần (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglycerid (TC) tại các thời điểm chưa uống thuốc (sau gây béo phì 8 tuần) và sau uống thuốc thử ngày cuối 1 giờ.","Mice trong mỗi nhóm được đánh giá trọng lượng mỗi tuần và nồng độ Cholesterol toàn phần (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglyceride (TC) được ghi nhận vào thời điểm ban đầu (sau khi gây béo phì 8 tuần) và 1 giờ sau khi uống hỗn hợp chiết xuất vào ngày cuối cùng.","Mice trong mỗi nhóm được đánh giá trọng lượng mỗi tuần và nồng độ Cholesterol toàn phần (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglyceride (TC) được ghi nhận vào thời điểm ban đầu (sau khi gây béo phì 8 tuần) và 1 giờ sau khi uống hỗn hợp chiết xuất vào ngày cuối cùng."
21,"The results showed that the mixture extract of C chrysantha and G pentaphyllum at doses of 12 g / kg / day and 24 g / kg / day, atorvastatin at a dose of 15 mg / kg / day (group 3, 4, 5) induced weight loss and decreased TC, CT, LDL-C levels compared with group 2 (p < 0.05) and the difference was not statistically significant between groups 3, 4, 5 (p > 0.05).","Kết quả cho thấy hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam ở liều 12 g / kg / ngày và 24 g / kg / ngày, atorvastatin liều 15 mg / kg / ngày (lô 3,4,5) đều giảm có ý nghĩa thống kê thể trọng chuột và các chỉ số CT, LDL-C và TC so với lô 2 (p < 0,05) và khác biệt không có ý nghĩa thống kê giữa các lô 3,4,5 (p > 0,05).","Kết quả cho thấy, hỗn hợp cao chiết từ C. chrysantha và G. pentaphyllum ở liều 12 g/kg/ngày và 24 g/kg/ngày, atorvastatin liều 15 mg/kg/ngày (nhóm 3, 4, 5) gây giảm cân và giảm nồng độ TC, CT, LDL-C so với nhóm 2 (p < 0.05) và sự khác biệt không có ý nghĩa thống kê giữa các nhóm 3, 4, 5 (p > 0.05).","Kết quả cho thấy, hỗn hợp cao chiết từ C. chrysantha và G. pentaphyllum ở liều 12 g/kg/ngày và 24 g/kg/ngày, atorvastatin liều 15 mg/kg/ngày (nhóm 3, 4, 5) gây giảm cân và giảm nồng độ TC, CT, LDL-C so với nhóm 2 (p < 0.05) và sự khác biệt không có ý nghĩa thống kê giữa các nhóm 3, 4, 5 (p > 0.05)."
22,"Research characteristics of clinical, paraclinical peripheral nerve damage in newly diagnosed type 2 diabetes patients",Đặc điểm lâm sàng và điện sinh lý của tổn thương thần kinh ngoại vi ở người bệnh đái tháo đường tuýp 2 mới được chẩn đoán,"Nghiên cứu đặc điểm lâm sàng, cận lâm sàng tổn thương thần kinh ngoại biên ở bệnh nhân đái tháo đường týp 2 mới chẩn đoán","Nghiên cứu đặc điểm lâm sàng, cận lâm sàng tổn thương thần kinh ngoại biên ở bệnh nhân đái tháo đường týp 2 mới chẩn đoán"
23,"A cross-sectional descriptive study was implemented to assess fluor contaminated teeth among children aged 12 years of Thai ethnic group in Con Cuong district, Nghe An province.","Nghiên cứu mô tả cắt ngang nhằm đánh giá tình trạng răng nhiễm fluor ở trẻ 12 tuổi dân tộc Thái tại huyện Con Cuông, tỉnh Nghệ An.","Nghiên cứu mô tả cắt ngang được thực hiện nhằm đánh giá tình trạng răng nhiễm fluor ở trẻ em 12 tuổi dân tộc Thái tại huyện Con Cuông, tỉnh Nghệ An.","Nghiên cứu mô tả cắt ngang được thực hiện nhằm đánh giá tình trạng răng nhiễm fluor ở trẻ em 12 tuổi dân tộc Thái tại huyện Con Cuông, tỉnh Nghệ An."
24,"The study was completed in May 2015 with 476 children aged 12 years at 9 secondary schools, applying the methodology of investigation and classification of WHO-2013 with the Dean's fluorosis index.",Nghiên cứu được hoàn thành vào tháng 5/2015 với 476 trẻ 12 tuổi tại 9 trường trung học cơ sở. Nghiên cứu theo phương pháp điều tra và phân loại của Tổ chức Y tế Thế giới (WHO) năm 2013 sử dụng chỉ số răng nhiễm fluor Dean.,"Nghiên cứu được hoàn thành vào tháng 5 năm 2015 với 476 trẻ em 12 tuổi tại 9 trường trung học cơ sở, áp dụng phương pháp điều tra và phân loại của WHO-2013 với chỉ số fluor răng Dean.","Nghiên cứu được hoàn thành vào tháng 5 năm 2015 với 476 trẻ em 12 tuổi tại 9 trường trung học cơ sở, áp dụng phương pháp điều tra và phân loại của WHO-2013 với chỉ số fluor răng Dean."
25,Research results showed that: The rate of 12-year-old children with fluor contaminated teeth including the suspicion level was 13.2%.,"Kết quả nghiên cứu: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu tính cả mức độ nghi ngờ là 13,2%.",Kết quả nghiên cứu cho thấy: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor bao gồm mức nghi ngờ là 13.2%.,Kết quả nghiên cứu cho thấy: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor bao gồm mức nghi ngờ là 13.2%.
26,The rate of 12-year-old children with fluor contaminated teeth without suspicion level was 7.1%.,"Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu không tính mức độ nghi ngờ là 7,1%.",Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor không có triệu chứng là 7.1%.,Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor không có triệu chứng là 7.1%.
27,"Mostly suspected and very mild, there was no case of severe fluor contaminated teeth. There was only one case of moderate fluor contaminated teeth.","Chủ yếu là mức độ nghi ngờ và rất nhẹ, không có trường hợp răng nhiễm fluor nặng, chỉ duy nhất một ca răng nhiễm fluor ở mức độ trung bình.","Phần lớn nghi ngờ và rất nhẹ, không có trường hợp nào bị nhiễm fluor nặng, chỉ có 1 trường hợp nhiễm fluor vừa.","Phần lớn nghi ngờ và rất nhẹ, không có trường hợp nào bị nhiễm fluor nặng, chỉ có 1 trường hợp nhiễm fluor vừa."
28,The Dean's index of community fluor contaminated teeth in 12-year-old children was 0.13. This was a community without fluor contaminated teeth according to the 2013 classification of the World Health Organization.,"Chỉ số răng nhiễm fluor trong cộng đồng theo chỉ số Dean ở trẻ 12 tuổi là 0,13 theo phân loại của Tổ chức Y tế Thế giới năm 2013 thuộc cộng đồng không bị nhiễm fluor răng.","Chỉ số Dean của răng nhiễm fluor cộng đồng ở trẻ em 12 tuổi là 0.13, đây là cộng đồng không có răng nhiễm fluor theo phân loại năm 2013 của Tổ chức Y tế Thế giới.","Chỉ số Dean của răng nhiễm fluor cộng đồng ở trẻ em 12 tuổi là 0.13, đây là cộng đồng không có răng nhiễm fluor theo phân loại năm 2013 của Tổ chức Y tế Thế giới."
29,Characteristics of dry eye in patients with primary Sjögren syndrome,Đặc điểm khô mắt trên bệnh nhân mắc hội chứng Sjögren nguyên phát,Đặc điểm khô mắt ở bệnh nhân mắc hội chứng Sjögren nguyên phát,Đặc điểm khô mắt ở bệnh nhân mắc hội chứng Sjögren nguyên phát
30,To investigate the reasonableness of using proton pump inhibitors (PPI) at 120 Military Hospital in Tien Giang province.,Khảo sát tính hợp lý trong sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân y 120 tỉnh Tiền Giang.,Khảo sát tính hợp lý của việc sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân y 120 tỉnh Tiền Giang.,Khảo sát tính hợp lý của việc sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân y 120 tỉnh Tiền Giang.
31,Unreasonable prescriptions in PPI used mainly gastritis.,Đơn thuốc chưa hợp lý trong sử dụng PPI chủ yếu là bệnh viêm dạ dày.,Việc kê đơn PPI không hợp lý chủ yếu ở bệnh nhân viêm dạ dày.,Việc kê đơn PPI không hợp lý chủ yếu ở bệnh nhân viêm dạ dày.
32,"Subjects and methods: Cross-sectional descriptive study on 4532 outpatient prescriptions of patients who were prescribed drugs by doctors from July 1st, 2020 to July 30th, 2020 at clinics of the examination department - Military Hospital 120.",Đối tượng và phương pháp: Nghiên cứu mô tả cắt ngang trên 4532 đơn thuốc khám bệnh ngoại trú của bệnh nhân được bác sĩ kê đơn thuốc từ ngày 01/7/2020 đến ngày 30/7/2020 tại các phòng khám thuộc khoa Khám bệnh – Bệnh viện Quân y 120.,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 4532 đơn thuốc ngoại trú của bệnh nhân được bác sĩ kê đơn thuốc từ ngày 01/07/2020 đến ngày 30/07/2020 tại các phòng khám của khoa Khám bệnh - Bệnh viện Quân y 120.,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 4532 đơn thuốc ngoại trú của bệnh nhân được bác sĩ kê đơn thuốc từ ngày 01/07/2020 đến ngày 30/07/2020 tại các phòng khám của khoa Khám bệnh-Bệnh viện Quân y 120.
33,Results: Prescribing unsafe proton pump inhibitors accounted for 12.13%.,"Kết quả: Tỷ lệ chỉ định thuốc ức chế bơm proton chưa an toàn chiếm 12,13%.",Kết quả: Lạm dụng thuốc ức chế bơm proton chiếm 12.13%.,Kết quả: Lạm dụng thuốc ức chế bơm proton chiếm 12.13%.
34,Percentage of prescriptions without instructions for use of proton pump inhibitors (0.79%).,"Tỷ lệ đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton (0,79%).",Tỷ lệ đơn thuốc không có chỉ định dùng thuốc ức chế bơm proton (0.79%).,Tỷ lệ đơn thuốc không có chỉ định dùng thuốc ức chế bơm proton (0.79%).
35,"The proportion of prescription drugs with drug interactions was 52.14%, clopidogrel was the most interactive drug commonly used with PPIs (48.3%).","Tỷ lệ đơn thuốc có tương tác thuốc là 52,14%, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất (48,3%).","Tỷ lệ kê đơn thuốc có tương tác thuốc là 52.14%, clopidogrel là thuốc tương tác thường gặp nhất với PPIs (48.3%).","Tỷ lệ kê đơn thuốc có tương tác thuốc là 52.14%, clopidogrel là thuốc tương tác thường gặp nhất với PPIs (48.3%)."
36,The proportion of proton pump inhibitors indicated unreasonable was 9.76%.,"Tỷ lệ có chỉ định thuốc ức chế bơm proton chưa hợp lý là: 9,76%.",Tỷ lệ thuốc ức chế bơm proton chỉ định không hợp lý là 9.76%.,Tỷ lệ thuốc ức chế bơm proton chỉ định không hợp lý là 9.76%.
37,The proportion of prescriptions with proton pump inhibitors for gastritis treatment accounted for 66.14% of the total number of prescriptions with proton pump inhibitors that were not reasonable.,"Tỷ lệ đơn thuốc có chỉ định thuốc ức chế bơm proton điều trị viêm dạ dày chiếm 66,14% so với tổng đơn thuốc có thuốc ức chế bơm proton chưa hợp lý.",Tỷ lệ đơn thuốc sử dụng thuốc ức chế bơm proton trong điều trị viêm dạ dày chiếm 66.14% tổng số đơn thuốc sử dụng thuốc ức chế bơm proton không hợp lý.,Tỷ lệ đơn thuốc sử dụng thuốc ức chế bơm proton trong điều trị viêm dạ dày chiếm 66.14% tổng số đơn thuốc sử dụng thuốc ức chế bơm proton không hợp lý.
38,Conclusion: The proportion of proton pump inhibitors was not safe and reasonable and the proportion of prescription drugs with no instructions on how long to use proton pump inhibitors were low.,"Kết luận: Tỷ lệ thuốc ức chế bơm proton chưa an toàn, chưa hợp lý, đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton chiếm tỷ lệ thấp.",Kết luận: Tỷ lệ sử dụng thuốc ức chế bơm proton chưa an toàn và hợp lý và tỷ lệ kê đơn thuốc không có hướng dẫn về thời gian sử dụng thuốc ức chế bơm proton thấp.,Kết luận: Tỷ lệ sử dụng thuốc ức chế bơm proton chưa an toàn và hợp lý và tỷ lệ kê đơn thuốc không có hướng dẫn về thời gian sử dụng thuốc ức chế bơm proton thấp.
39,"The proportion of prescription interacting drugs accounted for a high proportion, clopidogrel was the most interactive drug commonly used with PPIs.","Tỷ lệ đơn thuốc có tương tác chiếm tỷ lệ cao, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất.","Tỷ lệ kê đơn tương tác thuốc chiếm tỷ lệ cao, clopidogrel là thuốc tương tác thường gặp nhất được kê đơn phối hợp với PPI.","Tỷ lệ kê đơn tương tác thuốc chiếm tỷ lệ cao, clopidogrel là thuốc tương tác thường gặp nhất được kê đơn phối hợp với PPI."
40,"Evaluation of compliance with vancomycin therapy before and after the participation of clinical pharmacists at the department of intensive care medicine - anti toxicology, Nguyen Tri Phuong hospital","Đánh giá mức độ tuân thủ theo dõi trị liệu vancomycin trước và sau khi có sự tham gia của dược sĩ lâm sàng tại Khoa Hồi sức tích cực – Chống độc, Bệnh viện Nguyễn Tri Phương","Đánh giá tuân thủ điều trị vancomycin trước và sau tham gia của dược sĩ lâm sàng tại khoa hồi sức tích cực - chống độc, bệnh viện Nguyễn Tri Phương","Đánh giá tuân thủ điều trị vancomycin trước và sau tham gia của dược sĩ lâm sàng tại khoa hồi sức tích cực - chống độc, bệnh viện Nguyễn Tri Phương"
41,Primary spontaneous pneumothorax is a common disease in young people with a recurrence rate.,Tràn khí màng phổi tự phát tiên phát là bệnh lý thường xảy ra ở người trẻ với tỉ lệ tái phát nhất định.,Tràn khí màng phổi tự phát nguyên phát là một bệnh lý thường gặp ở người trẻ với tỷ lệ tái phát.,Tràn khí màng phổi tự phát nguyên phát là một bệnh lý thường gặp ở người trẻ với tỷ lệ tái phát.
42,"Currently, indications of video-assisted thoracoscopic surgery (VATS) in the routine treatment of primary spontaneous pneumothorax and it is recommended to perform early in the first episode of pneumothorax.","Hiện nay, chỉ định phẫu thuật nội soi lồng ngực trong điều trị tràn khí màng phổi tự phát tiên phát đã trở thành thường quy và khuyến cáo thực hiện sớm ngay với các trường hợp tràn khí lần đầu.","Hiện nay, chỉ định của phẫu thuật nội soi lồng ngực (PTNS) trong điều trị tràn khí màng phổi tự phát nguyên phát và được khuyến cáo thực hiện sớm trong đợt tràn khí màng phổi đầu tiên.","Hiện nay, chỉ định của PTNS trong điều trị tràn khí màng phổi tự phát nguyên phát và được khuyến cáo thực hiện sớm trong đợt tràn khí màng phổi đầu tiên."
43,"Methods: Cross-sectional study; The research results were recorded in the following variables: age, sex; operative indications; operative time... The data were recorded in the research medical record for each patient and processed by the SPSS 20.0.","Phương pháp: Nghiên cứu cắt ngang; Kết quả nghiên cứu ghi nhận ở các biến số: Tuổi, giới tính; chỉ định phẫu thuật; thời gian mổ... Số liệu được ghi nhận vào mẫu bệnh án nghiên cứu cho từng bệnh nhân và xử lý bằng chương trình SPSS 20.0.","Phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang; Kết quả nghiên cứu được ghi nhận trong các biến số: tuổi, giới tính; chỉ định phẫu thuật; thời gian phẫu thuật... Các số liệu được ghi nhận trong bệnh án nghiên cứu của từng bệnh nhân và được xử lý bằng phần mềm SPSS 20.0.","Phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang; Kết quả nghiên cứu được ghi nhận trong các biến số: tuổi, giới tính; chỉ định phẫu thuật; thời gian phẫu thuật... Các số liệu được ghi nhận trong bệnh án nghiên cứu của từng bệnh nhân và được xử lý bằng phần mềm SPSS 20.0."
44,"Results: From January 2018 to April 2021 at Cardiovascular and Thoracic Center - Viet Duc University Hospital, 38 patients underwent video-assisted thoracoscopic surgery for primary spontaneous pneumothorax.",Kết quả: Từ tháng 01/2018 đến 04/2021 tại trung tâm Tim mạch và Lồng ngực – Bệnh viện hữu nghị Việt Đức có 38 bệnh nhân được phẫu thuật nội soi lồng ngực điều trị tràn khí màng phổi tự phát tiên phát.,"Kết quả: Từ tháng 1/2018 đến tháng 4/2021 tại Trung tâm Tim mạch và Lồng ngực-Bệnh viện Hữu nghị Việt Đức, có 38 bệnh nhân được phẫu thuật nội soi lồng ngực điều trị tràn khí màng phổi tự phát nguyên phát.","Kết quả: Từ tháng 1/2018 đến tháng 4/2021 tại Trung tâm Tim mạch và Lồng ngực-Bệnh viện Hữu nghị Việt Đức, có 38 bệnh nhân được phẫu thuật nội soi lồng ngực điều trị tràn khí màng phổi tự phát nguyên phát."
